,job,job_status,unemployed,services,management,blue-collar,self-employed,technician,entrepreneur,admin.,student,housemaid,retired,unknown,y
1160,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1161,unemployed,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1162,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1163,unemployed,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1164,self-employed,5,0,0,0,0,1,0,0,0,0,0,0,0,0
1165,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1166,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,1
1167,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1168,management,3,0,0,1,0,0,0,0,0,0,0,0,0,1
1169,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1170,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1171,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1172,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1173,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1174,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1175,housemaid,10,0,0,0,0,0,0,0,0,0,1,0,0,0
1176,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1177,self-employed,5,0,0,0,0,1,0,0,0,0,0,0,0,1
1178,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1179,management,3,0,0,1,0,0,0,0,0,0,0,0,0,1
1180,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,1
1181,services,2,0,1,0,0,0,0,0,0,0,0,0,0,1
1182,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1183,self-employed,5,0,0,0,0,1,0,0,0,0,0,0,0,0
1184,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1185,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1186,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1187,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1188,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1189,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1190,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,1
1191,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1192,entrepreneur,7,0,0,0,0,0,0,1,0,0,0,0,0,0
1193,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1194,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1195,self-employed,5,0,0,0,0,1,0,0,0,0,0,0,0,0
1196,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1197,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1198,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1199,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1200,self-employed,5,0,0,0,0,1,0,0,0,0,0,0,0,0
1201,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1202,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1203,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,0
1204,entrepreneur,7,0,0,0,0,0,0,1,0,0,0,0,0,0
1205,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1206,management,3,0,0,1,0,0,0,0,0,0,0,0,0,1
1207,entrepreneur,7,0,0,0,0,0,0,1,0,0,0,0,0,0
1208,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1209,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,0
1210,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1211,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1212,management,3,0,0,1,0,0,0,0,0,0,0,0,0,1
1213,self-employed,5,0,0,0,0,1,0,0,0,0,0,0,0,0
1214,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1215,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1216,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1217,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1218,unknown,12,0,0,0,0,0,0,0,0,0,0,0,1,0
1219,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1220,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1221,self-employed,5,0,0,0,0,1,0,0,0,0,0,0,0,0
1222,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1223,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1224,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1225,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1226,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1227,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1228,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1229,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1230,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,1
1231,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1232,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1233,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1234,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1235,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1236,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1237,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1238,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1239,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1240,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1241,student,9,0,0,0,0,0,0,0,0,1,0,0,0,0
1242,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1243,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,0
1244,entrepreneur,7,0,0,0,0,0,0,1,0,0,0,0,0,0
1245,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1246,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1247,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1248,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1249,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,1
1250,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1251,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1252,entrepreneur,7,0,0,0,0,0,0,1,0,0,0,0,0,0
1253,entrepreneur,7,0,0,0,0,0,0,1,0,0,0,0,0,0
1254,unemployed,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1255,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1256,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1257,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1258,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1259,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1260,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1261,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1262,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1263,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1264,unemployed,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1265,unemployed,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1266,unknown,12,0,0,0,0,0,0,0,0,0,0,0,1,1
1267,unemployed,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1268,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1269,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,1
1270,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1271,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1272,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1273,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1274,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1275,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1276,management,3,0,0,1,0,0,0,0,0,0,0,0,0,1
1277,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,1
1278,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1279,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1280,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1281,entrepreneur,7,0,0,0,0,0,0,1,0,0,0,0,0,0
1282,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1283,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1284,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1285,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1286,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1287,management,3,0,0,1,0,0,0,0,0,0,0,0,0,1
1288,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1289,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1290,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1291,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1292,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1293,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1294,entrepreneur,7,0,0,0,0,0,0,1,0,0,0,0,0,0
1295,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1296,entrepreneur,7,0,0,0,0,0,0,1,0,0,0,0,0,0
1297,management,3,0,0,1,0,0,0,0,0,0,0,0,0,1
1298,student,9,0,0,0,0,0,0,0,0,1,0,0,0,0
1299,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1300,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,1
1301,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1302,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1303,management,3,0,0,1,0,0,0,0,0,0,0,0,0,1
1304,entrepreneur,7,0,0,0,0,0,0,1,0,0,0,0,0,0
1305,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1306,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1307,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1308,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1309,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1310,student,9,0,0,0,0,0,0,0,0,1,0,0,0,0
1311,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1312,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,1
1313,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1314,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1315,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1316,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1317,self-employed,5,0,0,0,0,1,0,0,0,0,0,0,0,0
1318,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1319,management,3,0,0,1,0,0,0,0,0,0,0,0,0,1
1320,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1321,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1322,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1323,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1324,entrepreneur,7,0,0,0,0,0,0,1,0,0,0,0,0,0
1325,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1326,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1327,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1328,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1329,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1330,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1331,self-employed,5,0,0,0,0,1,0,0,0,0,0,0,0,0
1332,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,1
1333,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1334,management,3,0,0,1,0,0,0,0,0,0,0,0,0,1
1335,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1336,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1337,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1338,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1339,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1340,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1341,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1342,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,1
1343,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,1
1344,management,3,0,0,1,0,0,0,0,0,0,0,0,0,1
1345,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1346,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1347,self-employed,5,0,0,0,0,1,0,0,0,0,0,0,0,0
1348,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1349,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,1
1350,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1351,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1352,student,9,0,0,0,0,0,0,0,0,1,0,0,0,0
1353,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1354,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1355,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1356,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1357,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1358,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1359,housemaid,10,0,0,0,0,0,0,0,0,0,1,0,0,0
1360,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1361,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1362,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1363,self-employed,5,0,0,0,0,1,0,0,0,0,0,0,0,0
1364,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1365,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1366,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1367,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1368,self-employed,5,0,0,0,0,1,0,0,0,0,0,0,0,0
1369,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,0
1370,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1371,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1372,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1373,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1374,self-employed,5,0,0,0,0,1,0,0,0,0,0,0,0,0
1375,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1376,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1377,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1378,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1379,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,1
1380,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1381,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1382,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1383,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1384,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1385,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1386,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1387,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1388,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1389,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1390,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1391,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1392,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1393,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,0
1394,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1395,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,1
1396,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1397,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1398,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1399,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1400,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1401,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1402,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1403,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1404,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1405,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1406,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1407,unemployed,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1408,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1409,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1410,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1411,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,1
1412,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1413,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1414,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1415,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,0
1416,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1417,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1418,services,2,0,1,0,0,0,0,0,0,0,0,0,0,1
1419,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1420,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1421,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1422,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,0
1423,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1424,student,9,0,0,0,0,0,0,0,0,1,0,0,0,0
1425,management,3,0,0,1,0,0,0,0,0,0,0,0,0,1
1426,entrepreneur,7,0,0,0,0,0,0,1,0,0,0,0,0,0
1427,self-employed,5,0,0,0,0,1,0,0,0,0,0,0,0,0
1428,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1429,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1430,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1431,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,1
1432,unknown,12,0,0,0,0,0,0,0,0,0,0,0,1,0
1433,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1434,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1435,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,1
1436,entrepreneur,7,0,0,0,0,0,0,1,0,0,0,0,0,0
1437,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,1
1438,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,0
1439,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1440,housemaid,10,0,0,0,0,0,0,0,0,0,1,0,0,1
1441,unknown,12,0,0,0,0,0,0,0,0,0,0,0,1,0
1442,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,0
1443,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1444,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1445,self-employed,5,0,0,0,0,1,0,0,0,0,0,0,0,0
1446,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,1
1447,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1448,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1449,management,3,0,0,1,0,0,0,0,0,0,0,0,0,1
1450,self-employed,5,0,0,0,0,1,0,0,0,0,0,0,0,0
1451,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1452,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1453,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1454,services,2,0,1,0,0,0,0,0,0,0,0,0,0,1
1455,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1456,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1457,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1458,management,3,0,0,1,0,0,0,0,0,0,0,0,0,1
1459,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1460,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1461,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1462,unknown,12,0,0,0,0,0,0,0,0,0,0,0,1,0
1463,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1464,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,1
1465,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1466,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1467,services,2,0,1,0,0,0,0,0,0,0,0,0,0,1
1468,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1469,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,1
1470,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1471,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1472,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1473,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1474,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1475,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1476,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1477,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1478,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1479,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1480,self-employed,5,0,0,0,0,1,0,0,0,0,0,0,0,0
1481,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1482,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1483,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1484,entrepreneur,7,0,0,0,0,0,0,1,0,0,0,0,0,0
1485,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,1
1486,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1487,entrepreneur,7,0,0,0,0,0,0,1,0,0,0,0,0,0
1488,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1489,unknown,12,0,0,0,0,0,0,0,0,0,0,0,1,0
1490,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1491,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1492,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1493,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1494,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1495,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1496,unemployed,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1497,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,0
1498,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1499,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1500,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1501,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,1
1502,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1503,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,0
1504,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,1
1505,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1506,entrepreneur,7,0,0,0,0,0,0,1,0,0,0,0,0,0
1507,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1508,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1509,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,1
1510,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1511,unemployed,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1512,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1513,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1514,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1515,housemaid,10,0,0,0,0,0,0,0,0,0,1,0,0,0
1516,self-employed,5,0,0,0,0,1,0,0,0,0,0,0,0,0
1517,unknown,12,0,0,0,0,0,0,0,0,0,0,0,1,0
1518,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1519,unemployed,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1520,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1521,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1522,entrepreneur,7,0,0,0,0,0,0,1,0,0,0,0,0,0
1523,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1524,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1525,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1526,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1527,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1528,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1529,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1530,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1531,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1532,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,1
1533,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1534,management,3,0,0,1,0,0,0,0,0,0,0,0,0,1
1535,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1536,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1537,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1538,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1539,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1540,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1541,self-employed,5,0,0,0,0,1,0,0,0,0,0,0,0,0
1542,entrepreneur,7,0,0,0,0,0,0,1,0,0,0,0,0,0
1543,student,9,0,0,0,0,0,0,0,0,1,0,0,0,0
1544,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1545,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1546,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1547,entrepreneur,7,0,0,0,0,0,0,1,0,0,0,0,0,0
1548,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1549,self-employed,5,0,0,0,0,1,0,0,0,0,0,0,0,0
1550,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1551,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1552,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1553,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1554,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1555,entrepreneur,7,0,0,0,0,0,0,1,0,0,0,0,0,0
1556,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1557,student,9,0,0,0,0,0,0,0,0,1,0,0,0,1
1558,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
